Page,Title,Company_name,Address,Description,Links
4,SME Acquisition Sales Executive,Kashier Payment Solutions ,"Zamalek, Cairo, Egypt ",Full Time | Experienced | 3+ Yrs of Exp | Sales/Retail | Sales | sales skills | Sales Target | Communication Skills,https://wuzzuf.net/jobs/p/ndaupGRVvdVg-SME-Acquisition-Sales-Executive-Kashier-Payment-Solutions-Cairo-Egypt?o=48&l=sp&t=sj&a=search-v3|hpb
4,Head of Data Analysis,Zeina Group ,"Sheikh Zayed, Giza, Egypt ",Full Time | Experienced | 7 - 10 Yrs of Exp | Analyst/Research | Analysis | SQL | Data Analysis,https://wuzzuf.net/jobs/p/E341dKBEsdj6-Head-of-Data-Analysis-Zeina-Group-Giza-Egypt?o=49&l=sp&t=sj&a=search-v3|hpb
4,Senior Data Developer - ETL,KnowledgeNet ,"Nasr City, Cairo, Egypt ",Full Time | Experienced | 4+ Yrs of Exp | IT/Software Development | Quality | Engineering - Telecom/Technology | Computer Science | Information Technology (IT) | SQL | ETL | Microsoft SQL Server | Data Developer | Data Stage,https://wuzzuf.net/jobs/p/JAt4B2jV3Ka4-Senior-Data-Developer---ETL-KnowledgeNet-Cairo-Egypt?o=50&l=sp&t=sj&a=search-v3|hpb
4,District Sales Manager,Sun Pharma ,"Cairo, Egypt ",Full Time | Manager | 5 - 10 Yrs of Exp | Medical/Healthcare | Sales/Retail | Pharmaceutical | Pharmaceutical | Sales | District manager | Science | Pharmacy | Medical | Planning,https://wuzzuf.net/jobs/p/4LMJtLSVHeLa-District-Sales-Manager-Sun-Pharma-Cairo-Egypt?o=51&l=sp&t=sj&a=search-v3|hpb
4,Technical Lead,DIRAC SYSTEMS ,"Heliopolis, Cairo, Egypt ",Full Time | Manager | 5 - 10 Yrs of Exp | IT/Software Development | Information Technology (IT) | Java | technical | Management | Computer Science | kafka | Spring Boot,https://wuzzuf.net/jobs/p/quytdcNQo0FV-Technical-Lead-DIRAC-SYSTEMS-Cairo-Egypt?o=52&l=sp&t=sj&a=search-v3|hpb
4,Sales Agent,Affix Developments ,"New Cairo, Cairo, Egypt ",Full Time | Entry Level | 0 - 2 Yrs of Exp | Sales/Retail | Sales | real estate | Presentations | New Cairo | Communication skills | Sales Target | Presentation | sales skills | English,https://wuzzuf.net/jobs/p/wc9HL2TWoq2S-Sales-Agent-Affix-Developments-Cairo-Egypt?o=53&l=sp&t=sj&a=search-v3|hpb
4,Technical Office Engineer,Mobiserve ,"Cairo, Egypt ",Full Time | Experienced | 2 - 5 Yrs of Exp | Project/Program Management | Engineering - Mechanical/Electrical | Engineering | Electrical | Mechanical | Mechanical Engineering | Pricing | Project | Technical Office | Tendering,https://wuzzuf.net/jobs/p/yRLzPvMu6n4Q-Technical-Office-Engineer-Mobiserve-Cairo-Egypt?o=54&l=sp&t=sj&a=search-v3|hpb
4,Oracle Developer,KnowledgeNet ,"Nasr City, Cairo, Egypt ",Full Time | Experienced | 2+ Yrs of Exp | IT/Software Development | Engineering - Telecom/Technology | Computer Science | Information Technology (IT) | Software Development | Oracle | TOAD | SQL | PL/SQL | SQLplus,https://wuzzuf.net/jobs/p/ISR0yEDeqNoB-Oracle-Developer-KnowledgeNet-Cairo-Egypt?o=55&l=sp&t=sj&a=search-v3|hpb
4,COO ( Construction / Engineering Consultant Background ),Confidential ,"New Cairo, Cairo, Egypt ",Full Time | Senior Management | 20+ Yrs of Exp | Engineering - Construction/Civil/Architecture | Project/Program Management | Civil Engineering | AutoCAD | Civil | Infrastructure | Project Management | Engineering | Construction Engineering | project manager,https://wuzzuf.net/jobs/p/xVL4eEn2pPs7-COO-Construction-Engineering-Consultant-Background-Cairo-Egypt?o=56&l=sp&t=sj&a=search-v3|hpb
4,HORECA Manager,Fatura  ,"Maadi, Cairo, Egypt ",Full Time | Manager | 10 - 15 Yrs of Exp | Operations/Management | Sales/Retail | HORECA | Sales | Sales Target | FMCG,https://wuzzuf.net/jobs/p/RKOZKBWwRRD6-HORECA-Manager-Fatura-Cairo-Egypt?o=57&l=sp&t=sj&a=search-v3|hpb
4,Tax Accountant,Nile Global Construction co ,"Dokki, Giza, Egypt ",Full Time | Experienced | 1 - 3 Yrs of Exp | Accounting/Finance | Accounting | Financial | income | Income Tax | MS Office | office | Tax | Tax Law | Payments,https://wuzzuf.net/jobs/p/ZE1eOMgVjiqG-Tax-Accountant-Nile-Global-Construction-co-Giza-Egypt?o=58&l=sp&t=sj&a=search-v3|hpb
4,Business Analyst,KnowledgeNet ,"Nasr City, Cairo, Egypt ",Full Time | Experienced | 2 - 4 Yrs of Exp | IT/Software Development | Analyst/Research | Engineering - Telecom/Technology | BPMN | Visio | Oracle | Oracle BPM | Aris | Information Technology (IT) | Computer Science,https://wuzzuf.net/jobs/p/juGDFcXZTNXi-Business-Analyst-KnowledgeNet-Cairo-Egypt?o=59&l=sp&t=sj&a=search-v3|hpb
4,HR Internship,Egypt for Panel and Steel Industries S.A.E ,"6th of October, Giza, Egypt ",Full Time | Entry Level | 0 - 1 Yrs of Exp | Administration | Human Resources | Communication | Communication skills | Human Resources | Human Resources (HR) | Microsoft Office | Recruitment | HR,https://wuzzuf.net/jobs/p/NVMIWFLM0HK6-HR-Internship-Egypt-for-Panel-and-Steel-Industries-S-A-E-Giza-Egypt?o=60&l=sp&t=sj&a=search-v3|hpb
5,Accountant,KnowledgeNet ,"Nasr City, Cairo, Egypt ",Full Time | Entry Level | 1 - 3 Yrs of Exp | males_only | Accounting/Finance | Accounting | analytical | Education | Finance | Financial Analysis | Microsoft Office | office | excel,https://wuzzuf.net/jobs/p/IWCqnrvYylwo-Accountant-KnowledgeNet-Cairo-Egypt?o=61&l=sp&t=sj&a=search-v3|hpb
5,QS Engineer (MEP & Civil),Arabia Holding ,"New Cairo, Cairo, Egypt ",Full Time | Experienced | 2 - 8 Yrs of Exp | Engineering - Construction/Civil/Architecture | AutoCAD | Civil Engineering | Engineering | QS | Quantity Surveying,https://wuzzuf.net/jobs/p/G49gsWhrpVBV-QS-Engineer-MEP-Civil-Arabia-Holding-Cairo-Egypt?o=62&l=sp&t=sj&a=search-v3|hpb
5,Project Manager,Egypt for Panel and Steel Industries S.A.E ,"6th of October, Giza, Egypt ",Full Time | Manager | 7+ Yrs of Exp | Engineering - Construction/Civil/Architecture | Project/Program Management | Communication | Communication skills | Computer Science | Construction | Engineering | Information Technology (IT) | Microsoft Office | ms project,https://wuzzuf.net/jobs/p/MlPKHgZQjQgW-Project-Manager-Egypt-for-Panel-and-Steel-Industries-S-A-E-Giza-Egypt?o=63&l=sp&t=sj&a=search-v3|hpb
5,Electrical Engineer.,Talaat Moustafa Group ,"Madinaty, Cairo, Egypt ",Full Time | Experienced | 5 - 7 Yrs of Exp | Engineering - Mechanical/Electrical | Electrical Engineering | Computer Programs | Engineering | RFI | Electrical | English | Arabic,https://wuzzuf.net/jobs/p/m4nSXGBAauUH-Electrical-Engineer-Talaat-Moustafa-Group-Cairo-Egypt?o=64&l=sp&t=sj&a=search-v3|hpb
5,Sales Agent - Etisalat Misr,Sky Distribution ,"Ain Shams, Cairo, Egypt ",Full Time | Entry Level | 1 - 5 Yrs of Exp | Customer Service/Support | Sales/Retail | Sales | Telesales | Customer Service | Customer Care | Customer Support | Retail | Sales Target | sales skills,https://wuzzuf.net/jobs/p/hiNfBVq9nOe3-Sales-Agent---Etisalat-Misr-Sky-Distribution-Cairo-Egypt?o=65&l=sp&t=sj&a=search-v3|hpb
5,Accountant,Lewaa El Hamd Group ,"Nasr City, Cairo, Egypt ",Full Time | Entry Level | 1 - 3 Yrs of Exp | Accounting/Finance | Banking | Accounting | Commerce | Finance | Microsoft Office | Accounts Payable | Microsoft Excel | Sales | Advanced Excel,https://wuzzuf.net/jobs/p/WRPqQ41LKdzq-Accountant-Lewaa-El-Hamd-Group-Cairo-Egypt?o=66&l=sp&t=sj&a=search-v3|hpb
